,Symbol,Time,Signal,Current Close,Open1,High1,Low1,Close1,Open2,High2,Low2,Close2,Open3,High3,Low3,Close3,Open4,High4,Low4,Close4
9,EURUSD,21-11-2010 00:00,Buy,1.36254,1.36244,1.36326,1.33614,1.33671,1.33661,1.34209,1.32839,1.3333700000000002,1.33332,1.3387,1.32864,1.3358,1.33579,1.33611,1.32001,1.32395
83,EURUSD,21-11-2010 00:00,Buy,1.3625399999999999,1.3624399999999999,1.3632600000000001,1.3361399999999999,1.33671,1.33661,1.34209,1.32839,1.3333700000000002,1.33332,1.3387,1.32864,1.3358,1.33579,1.3361100000000001,1.3200100000000001,1.32395
308,EURUSD,22-11-2010 22:00,Sell,1.33671,1.33661,1.34209,1.32839,1.3333700000000002,1.33332,1.3387,1.32864,1.3358,1.33579,1.3361100000000001,1.3200100000000001,1.32395,1.32792,1.32999,1.3063799999999999,1.3124799999999999
84,EURUSD,22-11-2010 22:00,Sell,1.33671,1.33661,1.34209,1.32839,1.3333700000000002,1.33332,1.3387,1.32864,1.3358,1.33579,1.3361100000000001,1.3200100000000001,1.32395,1.32792,1.32999,1.3063799999999999,1.3124799999999999
234,EURUSD,22-11-2010 22:00,Sell,1.33671,1.33661,1.34209,1.32839,1.3333700000000002,1.33332,1.3387,1.32864,1.3358,1.33579,1.33611,1.32001,1.32395,1.32792,1.32999,1.30638,1.31248
10,EURUSD,22-11-2010 22:00,Sell,1.33671,1.33661,1.34209,1.32839,1.3333700000000002,1.33332,1.3387,1.32864,1.3358,1.33579,1.33611,1.32001,1.32395,1.32792,1.32999,1.30638,1.31248
235,EURUSD,12-12-2010 00:00,Buy,1.339,1.33883,1.34979,1.33627,1.33774,1.3377,1.33809,1.3207799999999998,1.32125,1.3212700000000002,1.32655,1.31809,1.32431,1.32409,1.33581,1.31329,1.31864
11,EURUSD,12-12-2010 00:00,Buy,1.339,1.33883,1.34979,1.33627,1.33774,1.3377,1.33809,1.3207799999999998,1.32125,1.3212700000000002,1.32655,1.31809,1.32431,1.32409,1.33581,1.31329,1.31864
309,EURUSD,12-12-2010 00:00,Buy,1.339,1.33883,1.34979,1.33627,1.33774,1.3377,1.33809,1.3207799999999998,1.32125,1.3212700000000002,1.32655,1.31809,1.32431,1.32409,1.33581,1.31329,1.31864
85,EURUSD,12-12-2010 00:00,Buy,1.339,1.33883,1.34979,1.33627,1.33774,1.3377,1.33809,1.3207799999999998,1.32125,1.3212700000000002,1.32655,1.31809,1.32431,1.32409,1.33581,1.31329,1.31864
163,EURJPY,02-03-2011 22:00,Sell,111.604,111.398,112.18299999999999,111.23100000000001,111.81200000000001,111.80799999999999,112.301,111.59100000000001,112.23,112.22200000000001,113.199,112.054,113.086,113.086,113.40100000000001,112.60799999999999,113.194
165,EURJPY,08-03-2011 00:00,Buy,111.13799999999999,111.13799999999999,112.29899999999999,110.344,111.994,112.63,112.677,109.715,110.22200000000001,110.211,110.759,109.088,110.61,110.60600000000001,111.242,108.3,108.947
