Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-02,176.8,179.25,176.55,178.9,8476281,0,0,0
2018-01-03,179.5,180.3,176.75,177.05,10341665,0,0,0
2018-01-04,177.45,177.9,176.55,177.1,7260268,0,0,0
2018-01-05,177.3,178.25,176.5,177.5,10359225,0,0,0
2018-01-08,177.6,178.5,176.9,177.65,6075105,0,0,0
2018-01-09,177.9,178.4,175.75,176.7,6557247,0,0,0
2018-01-10,176.2,176.8,173.4,173.95,8197173,0,0,0
2018-01-11,174.0,174.9,173.0,173.5,5536143,0,0,0
2018-01-12,173.7,174.1,171.8,172.5,6974418,0,0,0
2018-01-15,173.0,175.4,171.8,172.95,4553198,0,0,0
2018-01-16,173.6,174.6,170.6,173.25,8448334,0,0,0
2018-01-17,173.2,174.85,170.85,174.25,6330277,0,0,0
2018-01-18,174.85,174.85,171.65,172.15,6900318,0,0,0
2018-01-19,172.05,173.45,170.2,172.75,3197248,0,0,0
2018-01-22,173.0,173.3,171.45,172.4,4518855,8.333333333333377,20.703125000000043,0
2018-01-23,172.1,176.25,172.1,172.7,5398827,14.875291584424913,18.54476942400865,0
2018-01-24,172.65,174.7,171.6,174.0,9731185,13.724291626870432,18.357847819165904,0
2018-01-25,173.55,175.5,171.4,171.95,11304494,14.298848789715999,16.535489694519452,0
2018-01-29,172.0,172.75,170.5,171.05,10765685,13.506462549423388,17.83580102550154,0
2018-01-30,171.05,172.5,169.8,170.3,7670738,12.603842940618954,18.37645372017114,0
2018-01-31,170.0,170.95,168.75,170.25,6517115,11.905673684988166,20.002294311400874,0
2018-02-01,169.25,169.8,167.4,169.05,9187297,11.051610191551351,21.965426379762548,0
2018-02-02,167.5,168.55,164.8,165.2,4003119,9.909951079088042,26.016025808615606,0
2018-02-05,162.0,167.4,162.0,166.25,5941662,8.68264608511908,29.215682201782712,0
2018-02-06,162.0,166.0,161.25,165.3,4044285,7.7282608909799615,27.6531128554148,0
2018-02-07,164.5,166.25,158.85,165.45,9478496,6.576160334733223,28.36559614510157,0
2018-02-08,165.45,165.75,163.0,163.7,6238973,6.2059065546614995,26.76854426951985,0
2018-02-09,162.45,164.05,160.5,163.25,3765185,5.755417461692323,29.93740390519401,0
2018-02-12,163.8,165.3,162.1,164.9,8722064,5.33811436639337,32.87282444072564,36.710538081634965
2018-02-14,165.0,165.7,162.15,162.95,4101637,5.767576107341823,30.491908477192037,38.958872079920475
2018-02-15,163.45,164.35,162.65,163.2,2151637,5.559903344871571,29.39398818128336,41.04661079261416
2018-02-16,163.5,163.8,162.05,162.8,6117270,5.346486596373022,29.581756963400057,43.070844553755954
2018-02-19,163.35,163.65,161.45,162.9,2195735,5.082369329646642,29.467690538712105,45.035761270904516
2018-02-20,162.35,165.1,162.1,164.2,5188315,8.007811799841038,27.47453188002541,45.73771532256679
2018-02-21,165.0,165.0,161.5,162.3,7763625,7.3805937545820575,26.665295475015615,46.51668283410161
2018-02-22,161.9,162.3,160.15,160.75,4945614,7.017004101122367,28.4449385367433,47.510145258699254
2018-02-23,161.05,164.0,160.85,163.55,3809344,10.379458245508063,26.333140168093315,47.22053527343906
2018-02-26,163.6,163.65,161.5,162.95,2905593,9.858049595827119,25.01030358721043,46.95161171569746
2018-02-27,164.0,166.0,162.55,165.55,3204111,14.51144630727339,23.012585173374426,45.21615268641023
2018-02-28,164.0,165.2,162.55,163.25,4381524,13.501530534058404,21.41103752216646,43.6046550163578
2018-03-01,163.7,163.75,162.0,163.0,2146760,12.935975194046776,21.8306543782128,42.317462223664144
2018-03-05,161.5,165.1,160.05,163.3,3287892,11.445985365944079,23.76377556541634,41.79364500175955
2018-03-06,164.3,164.95,162.2,163.35,5114754,10.721756128763872,22.26015481979925,41.307243295705284
2018-03-07,163.0,164.7,161.9,163.5,2609001,10.026144479358368,21.51107594168895,40.9579451636423
2018-03-08,164.0,166.0,162.25,165.3,4538911,12.134579690993199,19.67042055253619,39.72479816172098
2018-03-09,165.1,165.3,162.55,164.4,3737738,11.366471941263383,18.42530099738075,38.57973308850834
2018-03-12,164.8,172.75,164.1,171.15,2911168,24.566349147128772,15.172098115762974,37.5126240533967
2018-03-13,169.4,170.75,167.3,169.4,3126930,22.64951405669838,13.98826693720357,36.521737092221606
2018-03-14,169.3,170.15,168.15,169.7,3707403,21.702183570861912,13.403198680089586,35.601627771130445
2018-03-15,169.0,170.15,167.3,169.9,3652747,20.39321881955651,14.39365131833084,34.29055747092352
2018-03-16,167.8,169.45,163.65,164.85,12378708,17.850518409799076,19.880522312796153,32.225531643863455
2018-03-19,165.0,167.9,163.65,167.0,5021670,16.35701234250088,18.21717114205823,30.308007661593393
