Date,Open,High,Low,Close,Volume,+DI14,-DI14,ADX
2018-01-03,1002.6,1006.9,998.1,1000.1,884021,0,0,0
2018-01-04,1001.0,1002.9,996.1,1000.4,783950,0,0,0
2018-01-05,1002.5,1006.7,996.6,1003.05,2147402,0,0,0
2018-01-08,1008.85,1013.1,1003.7,1006.1,1780412,0,0,0
2018-01-09,1010.0,1020.65,996.0,1009.75,1242106,0,0,0
2018-01-10,1007.6,1009.45,1000.1,1002.25,676881,0,0,0
2018-01-11,1003.7,1021.0,1001.05,1017.65,2077832,0,0,0
2018-01-12,1022.5,1025.9,1016.1,1023.35,2320796,0,0,0
2018-01-15,1025.0,1041.4,1020.35,1038.35,3511372,0,0,0
2018-01-16,1043.55,1044.0,1027.5,1033.25,1158187,0,0,0
2018-01-17,1028.05,1034.15,1021.8,1027.1,1603465,0,0,0
2018-01-18,1033.0,1050.8,1031.4,1046.5,3648214,0,0,0
2018-01-19,1052.7,1063.9,1043.05,1060.55,4304314,0,0,0
2018-01-22,1061.0,1078.2,1044.0,1074.1,3189930,0,0,0
2018-01-23,1076.95,1083.75,1070.25,1075.45,2458463,40.46751018657503,6.605189791979436,0
2018-01-24,1071.25,1084.0,1070.95,1080.1,1168000,38.2757923233705,6.229676536026038,0
2018-01-25,1076.0,1098.0,1050.1,1092.35,4061319,31.252583510290467,13.073563714860652,0
2018-01-29,1092.0,1119.5,1091.0,1115.1,2215014,35.9011020298978,11.698180444321753,0
2018-01-30,1113.05,1118.0,1083.95,1088.05,2692935,31.62092910203264,12.771966013848813,0
2018-01-31,1084.0,1113.2,1083.15,1108.95,3143011,28.4026450998214,11.743027148498383,0
2018-02-01,1105.1,1131.0,1105.1,1120.95,3856283,31.88314364443957,10.729427906562798,0
2018-02-02,1115.0,1115.0,1077.95,1085.95,2281820,27.620567207419157,17.736330662261206,0
2018-02-05,1075.0,1081.05,1050.8,1062.25,2370531,24.71211148992406,24.00213050682187,0
2018-02-06,1035.65,1049.4,1018.2,1033.8,3334520,21.637177869329612,30.224224138299853,0
2018-02-07,1037.0,1050.0,1031.0,1036.3,3536295,20.627459302678634,28.572755298504383,0
2018-02-08,1036.3,1056.0,1030.6,1051.75,1839297,20.845848230958072,26.48900503646306,0
2018-02-09,1040.0,1045.5,1028.0,1032.0,1898563,19.419742903267533,25.42577121969987,0
2018-02-12,1037.5,1046.0,1032.65,1042.95,772861,18.760111603473927,24.36751138419096,0
2018-02-14,1050.0,1052.35,1036.8,1042.45,1187333,18.10851295708948,23.32213849700929,33.11943752313415
2018-02-15,1043.5,1047.5,1033.0,1042.15,908706,17.281583907658653,23.453871579768524,31.836058151416402
2018-02-16,1043.0,1062.0,1040.85,1050.2,1655606,20.71355266763221,21.884084007368372,29.758331040171353
2018-02-19,1059.0,1059.0,1046.55,1056.2,1188168,19.870455128936616,20.993342681663723,27.829013008300954
2018-02-20,1056.2,1065.4,1041.7,1045.8,835351,20.419869259114584,19.376518988631048,26.028492151023013
2018-02-21,1047.7,1060.8,1042.55,1055.05,3572028,19.193995723226767,18.21328128400235,24.356579926407782
2018-02-22,1052.5,1077.5,1050.65,1072.5,5142330,22.929085142175204,16.631354305276613,23.753914510621854
2018-02-23,1072.5,1083.3,1072.45,1080.85,2272854,24.04092341253666,16.02561860276468,23.486133668988906
2018-02-26,1081.0,1109.6,1081.0,1105.15,1817998,30.38994101705735,14.516855972610113,24.333319242226285
2018-02-27,1105.0,1105.0,1088.1,1093.05,1034120,28.666291932528885,13.69349256123078,25.11999156023242
